tiempo; x; y; h
0.2;0.0; 0.0; 0.4
0.5;0.0; 0.0; 0.6
1.0;-1.0; -0.29; 1.0
1.5;-1.48; -0.39; 1.06
2.0;1.04; 0.43; 1.24
2.5;3.08; 1.19; 1.36
3.0;3.08; 1.19; 0.96
3.5;3.08; 1.19; 0.56
4.0;3.08; 1.19; 0.16
4.4; 3.08; 1.19; 0.0
6.3;3.08; 1.19; 0.4
6.8;3.08; 1.19; 1.0
7.3;3.08; 1.19; 1.0
7.8;3.08; 1.19; 1.16
8.3;3.08; 1.19; 1.44
8.8;3.08; 1.19; 1.76
9.3;3.08; 1.19; 2.04
9.8;3.08; 1.19; 2.4
10.3;3.34; 1.53; 2.72
10.8;3.94; 2.13; 3.08
11.3;4.95; 2.9; 3.44
11.8;5.6; 3.55; 3.8
12.3;6.25; 4.2; 4.08
12.8;6.82; 4.69; 4.44
13.3;7.27; 4.94; 4.76
13.8;7.73; 5.31; 5.12
14.3;8.55; 6.17; 5.44
14.8;9.78; 7.48; 5.8
15.3;11.18; 8.92; 6.12
15.8;12.63; 10.31; 6.48
16.3;14.09; 11.67; 7.0
16.7;15.29; 12.72; 7.64
17.2;16.51; 13.73; 8.0
17.7;16.51; 13.73; 7.2
18.2;16.51; 13.73; 6.4
18.7;16.51; 13.73; 5.4
19.2;16.51; 13.73; 4.6
19.7;16.51; 13.73; 3.57
20.2;16.51; 13.73; 2.76
20.7;16.51; 13.73; 1.75
21.2;16.51; 13.73; 0.75
21.7;16.51; 13.73; 0.0
21.837; 16.51; 13.73; 0.0
